backend,batch_spec,num_layers,kv_cache_dtype,mean_time,std_time,throughput,memory_mb
FLASH_ATTN,4q256,6,auto,2.8679466744263967e-05,6.651039466440345e-07,35704987.44384098,0
FLASHINFER,4q256,6,auto,3.0214400092760723e-05,1.2774747086109678e-06,33891124.65765446,0
TRITON_ATTN,4q256,6,auto,3.375573307275772e-05,1.1112668066435544e-06,30335587.670184847,0
FLASH_ATTN,4q1k,6,auto,0.00023845333258310956,1.046207119003032e-06,17177365.29671858,0
FLASHINFER,4q1k,6,auto,0.0002188597321510315,7.937008535394334e-07,18715183.28083038,0
TRITON_ATTN,4q1k,6,auto,0.00034740053812662766,7.922717366070687e-07,11790425.029528901,0
FLASH_ATTN,4q128s8k,6,auto,0.00046533545653025304,1.475211271879512e-05,1100281.5126483128,0
FLASHINFER,4q128s8k,6,auto,0.00043723093668619794,1.0622351320846043e-06,1171005.8850832507,0
TRITON_ATTN,4q128s8k,6,auto,0.0007223818778991699,1.4793314012036112e-05,708766.3958140779,0
FLASH_ATTN,4q256s32k,6,auto,0.0036495189030965173,2.0423578970608043e-05,280584.9283671785,0
FLASHINFER,4q256s32k,6,auto,0.003307517878214518,1.5543328274369917e-05,309597.72182782006,0
TRITON_ATTN,4q256s32k,6,auto,0.00540980364481608,5.245254895556105e-06,189285.9828621032,0
FLASH_ATTN,4q1ks64k,6,auto,0.02401925506591797,2.3778557085943695e-05,170529.85151950043,0
FLASHINFER,4q1ks64k,6,auto,0.022196107482910156,9.984678345742709e-06,184536.86094076207,0
TRITON_ATTN,4q1ks64k,6,auto,0.03822681732177734,1.832227496614869e-05,107149.90906832728,0
