Generating SQLite file proj-2026-04-05-0445/step9_runs/20260405T/post_attention_1024.sqlite from proj-2026-04-05-0445/step9_runs/20260405T/post_attention_1024.nsys-rep
Processing [proj-2026-04-05-0445/step9_runs/20260405T/post_attention_1024.sqlite] with [/usr/local/cuda-13.0/nsight-systems-2025.3.2/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     28.7        431734566        276  1564255.7  1549553.5     12576   3291938    1555008.4  void nemotron::<unnamed>::MambaSsdPrefillFixedKernel<(int)128>(const float *, unsigned long, const …
     26.3        395451312      35016    11293.4    11552.0      9344     85119       3999.1  cutlass3x_sm120_bstensorop_s16864gemm_block_scaled_ue4m3xe2m1_ue4m3xe2m1_f32_f32_f32_128x128x256_1x…
     10.7        160734947      34536     4654.1     4512.0      3744     16544       1120.2  nemotron::<unnamed>::PackRowMajorFp32ToNvfp4Kernel(const float *, unsigned long, unsigned long, con…
      6.2         94003999      34536     2721.9     1216.0       767     56416       5947.4  nemotron::<unnamed>::ComputeGlobalMaxAbsKernel(const float *, unsigned long, unsigned int *)        
      3.9         59315931         36  1647664.8  1647776.5   1624017   1665201      10962.6  nemotron::<unnamed>::PagedAttentionNanoMultiTokenKernel(const __nv_bfloat16 *, const __nv_bfloat16 …
      3.3         49431155        138   358196.8   348493.0    340797    409660      17538.9  nemotron::<unnamed>::ExpertScatterKernel(const int *, const float *, unsigned long, int, int, const…
      2.4         35530837        276   128734.9   128654.5      1568    256414     127250.5  void nemotron::<unnamed>::MambaConvPrefillFixedKernel<(int)4>(const float *, unsigned long, unsigne…
      2.2         32622913      35364      922.5      960.0       767      2528        101.9  nemotron::<unnamed>::MultiplyTensorScalesKernel(const float *, const float *, float *)              
      2.1         31839259         36   884423.9   885480.0    875832    890040       4089.2  nemotron::<unnamed>::PagedAttentionDecodeProductionKernel(const __nv_bfloat16 *, const __nv_bfloat1…
      2.1         31399509      34536      909.2      896.0       831      1792         91.4  nemotron::<unnamed>::SwizzleBlockScalesForMatmulKernel(const unsigned char *, unsigned long, unsign…
      2.1         30946441      16374     1890.0     1600.0       927     15232       1320.9  nemotron::<unnamed>::GatherRowsKernel(const float *, const int *, float *, unsigned long, unsigned …
      1.9         27854249      16374     1701.1     1408.0       928     13983       1086.8  nemotron::<unnamed>::ScatterAddWeightedRowsKernel(const float *, const int *, const float *, float …
      1.8         27227589      34536      788.4      800.0       735      2560         39.7  nemotron::<unnamed>::WriteTensorScaleKernel(const unsigned int *, float *)                          
      1.4         21824149        144   151556.6   118511.0    102143    270589      66991.5  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x256_32x4_tn_align8>(T1::Para…
      1.1         16498139      17478      943.9      800.0       736      7904        695.4  nemotron::<unnamed>::Relu2InPlaceKernel(float *, unsigned long)                                     
      0.8         12516206        138    90697.1    90735.0     89567     91807        498.1  void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_8x4_tn_align1>(T1::Params)                      
      0.7         10080584        138    73047.7    73055.0     72895     73247         55.0  nemotron::<unnamed>::ExpertHistogramKernel(const int *, unsigned long, int, int *)                  
      0.6          8387281        156    53764.6    16992.0     15072    443644     112617.6  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
      0.5          7038296        636    11066.5     8672.0      6368     18016       4542.1  nemotron::<unnamed>::FusedAddRmsNormBf16Kernel(const __nv_bfloat16 *, __nv_bfloat16 *, const float …
      0.3          5025300        348    14440.5    13760.0     11520     16928       1400.6  cutlass3x_sm120_bstensorop_s16864gemm_block_scaled_ue4m3xe2m1_ue4m3xe2m1_f32_f32_f32_128x128x256_1x…
      0.3          3852004        984     3914.6      928.0       768     22688       4282.2  nemotron::<unnamed>::CastTensorBf16ToFp32Kernel(const __nv_bfloat16 *, float *, unsigned long)      
      0.2          2434605        696     3498.0     3439.5       768      8640       2762.6  nemotron::<unnamed>::CastTensorFp32ToBf16Kernel(const float *, __nv_bfloat16 *, unsigned long)      
      0.2          2427428        276     8795.0     8512.0      2240     16448       6462.5  nemotron::<unnamed>::MambaGatedGroupNormKernel(const float *, unsigned long, float *, unsigned long…
      0.1          1236304        276     4479.4     4224.0       800      9152       3599.9  nemotron::<unnamed>::ResidualAddKernel(const float *, const float *, float *, unsigned long)        
      0.1          1181590        276     4281.1     4288.0      3936      4736        123.9  nemotron::<unnamed>::DeviceExpertSelectionKernel(nemotron::FusedMoeDirectLayerParams, const float *…
      0.1           900184        138     6523.1     6528.0      6463      6560         23.5  nemotron::<unnamed>::ExpertCompactKernel(const int *, int, int *, int *)                            
      0.0           692731         72     9621.3     9616.0      9376      9920        118.6  void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_64x128_64x3_tn_align8>(T1::Para…
      0.0           690613        828      834.1      800.0       768      1088         56.5  nemotron::<unnamed>::AccumulateScaledByDeviceWeightKernel(const float *, const float *, unsigned lo…
      0.0           448540         72     6229.7     6288.0       928     11520       5307.7  nemotron::<unnamed>::ConvertAttentionOutputBf16ToRowMajorBf16Kernel(const __nv_bfloat16 *, unsigned…
      0.0           445950         72     6193.8     6176.0       928     11456       5276.8  nemotron::<unnamed>::ConvertRowMajorBf16ToAttentionQueryBf16Kernel(const __nv_bfloat16 *, unsigned …
      0.0           427135          6    71189.2    71184.0     71071     71328        100.8  nemotron::<unnamed>::DeviceArgmaxKernel(const float *, unsigned long, int *)                        
      0.0           323932        138     2347.3     2304.0      2176      2784        142.0  void dot_kernel<float, (int)128, (int)0, cublasDotParams<cublasGemvTensorStridedBatched<const float…
      0.0           236158         72     3280.0     3232.0      3104      3712        114.2  std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __n…
      0.0           231100        144     1604.9     1632.0      1248      1984        314.8  nemotron::<unnamed>::ScatterRowMajorBf16ToPagedCacheBf16Kernel(const __nv_bfloat16 *, unsigned long…
      0.0           159422         72     2214.2     2208.0      2176      2368         36.3  void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv…
      0.0           147743        138     1070.6     1056.0      1024      1088         16.9  void reduce_1Block_kernel<float, (int)128, (int)7, cublasGemvTensorStridedBatched<float>, cublasGem…
