thread_id,warp_id,lane_id,physical_idx,m_coord,n_coord,is_valid
0,0,0,0,0,0,1
0,0,0,1,0,8,1
0,0,0,2,64,0,1
0,0,0,3,64,8,1
0,0,0,4,0,1,1
0,0,0,5,0,9,1
0,0,0,6,64,1,1
0,0,0,7,64,9,1
0,0,0,8,8,0,1
0,0,0,9,8,8,1
0,0,0,10,72,0,1
0,0,0,11,72,8,1
0,0,0,12,8,1,1
0,0,0,13,8,9,1
0,0,0,14,72,1,1
0,0,0,15,72,9,1
0,0,0,16,-1,-1,0
0,0,0,17,-1,-1,0
0,0,0,18,-1,-1,0
0,0,0,19,-1,-1,0
0,0,0,20,-1,-1,0
0,0,0,21,-1,-1,0
0,0,0,22,-1,-1,0
0,0,0,23,-1,-1,0
0,0,0,24,-1,-1,0
0,0,0,25,-1,-1,0
0,0,0,26,-1,-1,0
0,0,0,27,-1,-1,0
0,0,0,28,-1,-1,0
0,0,0,29,-1,-1,0
0,0,0,30,-1,-1,0
0,0,0,31,-1,-1,0
1,0,1,0,0,2,1
1,0,1,1,0,10,1
1,0,1,2,64,2,1
1,0,1,3,64,10,1
1,0,1,4,0,3,1
1,0,1,5,0,11,1
1,0,1,6,64,3,1
1,0,1,7,64,11,1
1,0,1,8,8,2,1
1,0,1,9,8,10,1
1,0,1,10,72,2,1
1,0,1,11,72,10,1
1,0,1,12,8,3,1
1,0,1,13,8,11,1
1,0,1,14,72,3,1
1,0,1,15,72,11,1
1,0,1,16,-1,-1,0
1,0,1,17,-1,-1,0
1,0,1,18,-1,-1,0
1,0,1,19,-1,-1,0
1,0,1,20,-1,-1,0
1,0,1,21,-1,-1,0
1,0,1,22,-1,-1,0
1,0,1,23,-1,-1,0
1,0,1,24,-1,-1,0
1,0,1,25,-1,-1,0
1,0,1,26,-1,-1,0
1,0,1,27,-1,-1,0
1,0,1,28,-1,-1,0
1,0,1,29,-1,-1,0
1,0,1,30,-1,-1,0
1,0,1,31,-1,-1,0
2,0,2,0,0,4,1
2,0,2,1,0,12,1
2,0,2,2,64,4,1
2,0,2,3,64,12,1
2,0,2,4,0,5,1
2,0,2,5,0,13,1
2,0,2,6,64,5,1
2,0,2,7,64,13,1
2,0,2,8,8,4,1
2,0,2,9,8,12,1
2,0,2,10,72,4,1
2,0,2,11,72,12,1
2,0,2,12,8,5,1
2,0,2,13,8,13,1
2,0,2,14,72,5,1
2,0,2,15,72,13,1
2,0,2,16,-1,-1,0
2,0,2,17,-1,-1,0
2,0,2,18,-1,-1,0
2,0,2,19,-1,-1,0
2,0,2,20,-1,-1,0
2,0,2,21,-1,-1,0
2,0,2,22,-1,-1,0
2,0,2,23,-1,-1,0
2,0,2,24,-1,-1,0
2,0,2,25,-1,-1,0
2,0,2,26,-1,-1,0
2,0,2,27,-1,-1,0
2,0,2,28,-1,-1,0
2,0,2,29,-1,-1,0
2,0,2,30,-1,-1,0
2,0,2,31,-1,-1,0
3,0,3,0,0,6,1
3,0,3,1,0,14,1
3,0,3,2,64,6,1
3,0,3,3,64,14,1
3,0,3,4,0,7,1
3,0,3,5,0,15,1
3,0,3,6,64,7,1
3,0,3,7,64,15,1
3,0,3,8,8,6,1
3,0,3,9,8,14,1
3,0,3,10,72,6,1
3,0,3,11,72,14,1
3,0,3,12,8,7,1
3,0,3,13,8,15,1
3,0,3,14,72,7,1
3,0,3,15,72,15,1
3,0,3,16,-1,-1,0
3,0,3,17,-1,-1,0
3,0,3,18,-1,-1,0
